BDD取得時間,経路数,,
0,2,49152,
0,20,27525120,
0.015625238,174,812646400,
0.031249285,1160,26817331200,
0.078157187,7200,2.36E+11,
0.109332561,10380,9.20E+11,
0.156215668,46072,2.46E+12,
0.234374285,120670,1.18E+13,
0.36278677,346445,6.05E+13,
0.586532593,706735,2.30E+14,
0.640892029,1461922,1.09E+15,
0.750305891,2249269,4.36E+15,
0.828670979,3024448,1.63E+16,
0.891533613,3820600,4.90E+16,
1.046874285,4892650,1.47E+17,
BDD取得時間,計算時間,総組み合わせ数,BDD上の経路数
0,0,'49152,'2
0,0,'27525120,'20
0.015625238,0.015625238,'812646400,'174
0.015624762,0.031249762,'26817331200,'1160
0.031249285,0.140624046,'236165529600,'7200
0.046906233,0.234375715,'920466227200,'10380
0.062500238,1.031219721,'2460580577280,'46072
0.078085899,2.704443455,'11803998289920,'120670
0.140748262,7.802288055,'60487995752448,'346445
0.219242573,16.65270686,'229649820942336,'706735
0.249969721,35.78296471,'1089591461281792,'1461922
0.281251907,60.02205014,'4360614260506624,'2249269
0.312499046,87.77280188,'16290233280626688,'3024448
0.328537941,122.609822,'48994655819268096,'3820600
0.375766277,167.6976979,'147099776955973632,'4892650
BDD取得時間,計算時間,総組み合わせ数,BDD上の経路数,目標状態に到達可能な初期状態数
0.003000020980834961,0.004000186920166016,'49152,'2,'24576
0.005000114440917969,0.005000114440917969,'27525120,'20,'4915200
0.007999897003173828,0.009999990463256836,'812646400,'174,'58490880
0.014000177383422852,0.03099989891052246,'26817331200,'1160,'623902720
0.026999711990356445,0.14596772193908691,'236165529600,'7200,'1857945600
0.04399991035461426,0.2389998435974121,'920466227200,'10380,'2966814720
0.06499981880187988,1.0541284084320068,'2460580577280,'46072,'3571236864
0.12899994850158691,2.8132565021514893,'11803998289920,'120670,'5848596480
0.13199949264526367,7.947523832321167,'60487995752448,'346445,'9404399616
0.23408842086791992,16.895962715148926,'229649820942336,'706735,'12367429632
0.2740013599395752,36.78526711463928,'1089591461281792,'1461922,'17213423616
0.3050651550292969,61.08766579627991,'4360614260506624,'2249269,'21743271936
0.37592482566833496,89.59451842308044,'16290233280626688,'3024448,'27783069696
0.37399983406066895,125.26881122589111,'48994655819268096,'3820600,'27783069696
0.46492791175842285,170.11352467536926,'147099776955973632,'4892650,'27783069696
BDD取得時間,計算時間,総組み合わせ数,BDD上の経路数,目標状態に到達可能な初期状態数
0.0,0.0,'49152,'2,'24576
BDD取得時間,計算時間,総組み合わせ数,BDD上の経路数,目標状態に到達可能な初期状態数
0.0,0.0,'49152,'2,'24576
0.015617847442626953,0.015617847442626953,'27525120,'20,'4915200
0.0,0.0,'812646400,'174,'58490880
